,Site,H10,N2O,,
Y001,Iceland_fen_1,1.173644748,-0.37,,
Y002,Iceland_fen_1,0.974945304,-1.51,,
Y003,Iceland_fen_1,1.034220358,1.49,,
Y004,Iceland_fen_1,1.155891679,0.00,,
Y005,Iceland_drained_fen_2,1.128504102,-3.48,,
Y006,Iceland_drained_fen_2,0.969702116,0.00,,
Y007,Iceland_drained_fen_2,0.942276714,0.56,,
Y008,Iceland_drained_fen_2,1.263805951,0.00,,
Y009,Iceland_drained_fen,0.972679118,-0.95,,
Y010,Iceland_drained_fen,1.456484227,0.00,,
Y011,Iceland_drained_fen,1.503926111,0.00,,
Y012,Iceland_drained_fen,1.448762776,0.00,,
Y013,Iceland_drained_fen,1.142623835,-0.99,,
Y014,Iceland_drained_fen,1.536541059,0.00,,
Y015,Iceland_drained_fen,1.147767264,-0.08,,
Y016,Iceland_drained_fen,0.852069921,-0.60,,
Y017,Romania_bog_1,1.277316227,0.00,,
Y018,Romania_bog_1,0.582486429,-0.01,,
Y019,Romania_bog_1,0.474284384,0.18,,
Y020,Romania_bog_forest_1,0.961987603,1.28,,
Y021,Romania_bog_forest_1,0.827252264,0.12,,
Y022,Romania_bog_forest_1,1.024250954,-0.37,,
Y023,Brazil_drained_floodplain,1.338873769,20.69,,
Y024,Brazil_drained_floodplain,1.341864512,16.33,,
Y025,Brazil_drained_floodplain,1.38752858,3.64,,
Y026,Brazil_floodplain,1.351511039,13.71,,
Y027,Brazil_floodplain,1.440075553,0.01,,
Y028,Brazil_floodplain,1.375680725,-0.22,,
Y032,Quebec_drained_bog,1.531141976,19.78,,
Y033,Quebec_drained_bog,1.378856817,112.32,,
Y034,Quebec_drained_bog,1.401127984,58.73,,
Y035,Bashkortostan_drained_floodplain_1,1.430467496,31.94,,
Y036,Bashkortostan_drained_floodplain_1,1.546287986,4.73,,
Y037,Bashkortostan_drained_floodplain_1,1.458989137,6.45,,
Y038,Bashkortostan_fen,1.248437107,0.53,,
Y039,Bashkortostan_fen,1.308242452,-0.12,,
Y040,Bashkortostan_fen,1.164155522,-0.54,,
Y041,Bashkortostan_drained_floodplain_2,0.940730374,78.70,,
Y042,Bashkortostan_drained_floodplain_2,0.968114231,135.52,,
Y043,Bashkortostan_drained_floodplain_2,0.979871223,206.05,,
Y044,Bashkortostan_drained_fen,1.378851319,2.37,,
Y045,Bashkortostan_drained_fen,1.394847188,4.64,,
Y046,Estonia_drained_floodplain,1.465331731,13.63,,
